City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Baruun-Urt,MN,46.6806,113.2792,-9.09,77,2,12.44,clear sky
259,Longyearbyen,SJ,78.2186,15.6401,33.37,92,87,9.71,overcast clouds
260,Amalfi,CO,6.9102,-75.0776,59.0,99,67,2.57,broken clouds
261,Novyy Urengoy,RU,66.0833,76.6333,-6.0,98,33,7.72,scattered clouds
262,Punto Fijo,VE,11.6956,-70.1996,79.86,76,14,15.05,few clouds
263,Swan Hill,AU,-35.3378,143.5544,68.9,47,5,12.88,clear sky
264,Kulhudhuffushi,MV,6.6221,73.07,81.12,68,20,1.66,light rain
265,Paka,MY,4.6374,103.4368,75.38,86,87,6.13,overcast clouds
266,Mecca,SA,21.4267,39.8261,77.13,73,22,2.82,few clouds
267,Eganville,CA,45.5334,-77.0994,33.51,73,88,13.76,overcast clouds
268,Kijang,KR,35.2442,129.2139,33.4,27,83,4.5,broken clouds
269,Aleppo,SY,36.25,37.5,53.51,85,55,7.65,broken clouds
270,Leningradskiy,RU,69.3833,178.4167,11.61,90,97,7.56,overcast clouds
271,Ifo,NG,6.8144,3.1958,77.85,81,64,3.71,broken clouds
272,Purpe,RU,64.4803,76.6897,-12.96,97,16,6.67,few clouds
273,Garowe,SO,8.4054,48.4845,70.47,77,5,6.73,clear sky
274,Akcakoca,TR,41.0866,31.1162,52.99,84,100,0.92,overcast clouds
275,Morwa,IN,22.9,73.8333,62.08,44,0,8.72,clear sky
276,Kamuli,UG,0.9472,33.1197,65.25,90,100,2.77,overcast clouds
277,Adre,TD,13.4667,22.2,71.8,26,43,8.23,scattered clouds
278,Zaranj,AF,30.9667,61.8833,54.28,53,100,14.56,overcast clouds
279,Fallon,US,39.4735,-118.7774,55.27,21,75,5.75,broken clouds
280,Rantauprapat,ID,2.1,99.8333,73.71,97,100,1.59,overcast clouds
281,Naberera,TZ,-4.2,36.9333,62.46,91,97,6.42,overcast clouds
282,Zhigansk,RU,66.7697,123.3711,-30.66,99,68,7.31,broken clouds
283,Rimouski,CA,48.4488,-68.524,38.73,89,100,27.07,moderate rain
284,Tirano,IT,46.2154,10.1679,42.19,85,89,4.92,overcast clouds
285,Shimoda,JP,34.6667,138.95,53.1,86,100,13.58,overcast clouds
286,Shelburne,CA,44.0787,-80.2041,26.91,88,84,24.76,light snow
287,Manokwari,ID,-0.8667,134.0833,80.55,76,100,1.01,overcast clouds
288,Dingle,PH,10.9995,122.6711,79.29,87,99,10.69,overcast clouds
289,East Liverpool,US,40.6187,-80.5773,34.65,66,16,12.64,few clouds
290,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,58,0,13.8,clear sky
291,Cascais,PT,38.6979,-9.4215,56.52,93,88,13.0,overcast clouds
292,Narsaq,GL,60.9167,-46.05,28.62,90,94,5.08,overcast clouds
293,Havoysund,NO,70.9963,24.6622,35.83,83,56,6.91,broken clouds
294,Winnetka,US,42.1081,-87.7359,25.95,64,0,20.71,clear sky
295,Hamilton,US,39.1834,-84.5333,35.6,58,0,10.36,clear sky
296,Kamaishi,JP,39.2667,141.8833,37.54,48,89,2.91,overcast clouds
297,Maicao,CO,11.3832,-72.2432,75.22,85,10,6.2,clear sky
298,Dorado,PR,18.4588,-66.2677,80.96,83,2,10.33,clear sky
299,Uruacu,BR,-14.5247,-49.1408,70.23,95,46,3.18,scattered clouds
300,Jalu,LY,29.0331,21.5482,56.66,39,0,4.85,clear sky
301,Kirando,TZ,-7.4167,30.6,72.64,80,100,3.2,overcast clouds
302,Aljezur,PT,37.3191,-8.8033,58.32,89,76,3.33,broken clouds
303,Ocampo,MX,21.65,-101.5,58.17,67,11,22.68,few clouds
304,Sola,VU,-13.8833,167.55,82.47,74,76,13.56,broken clouds
305,Veraval,IN,20.9,70.3667,72.16,41,0,11.01,clear sky
306,Dinar,TR,38.065,30.1656,49.96,84,95,7.18,overcast clouds
307,Alice Springs,AU,-23.7,133.8833,78.35,21,0,11.5,clear sky
308,Hindupur,IN,13.8289,77.4933,65.23,78,6,2.73,clear sky
309,Cockburn Town,TC,21.4612,-71.1419,80.73,66,21,19.86,few clouds
310,Concepcion,CL,-36.827,-73.0498,60.6,55,0,14.97,clear sky
311,Ornskoldsvik,SE,63.2909,18.7153,31.15,100,100,2.3,overcast clouds
312,Xuanzhou,CN,30.9525,118.7553,32.34,77,100,3.6,overcast clouds
313,Esperance,AU,-33.8667,121.9,74.93,46,11,16.15,few clouds
314,Geraldton,AU,-28.7667,114.6,70.21,64,100,8.05,overcast clouds
315,Olafsvik,IS,64.8945,-23.7142,43.79,74,76,33.78,broken clouds
316,Tocopilla,CL,-22.092,-70.1979,67.24,67,4,12.44,clear sky
317,Vitim,RU,59.4511,112.5578,-3.03,96,100,8.12,overcast clouds
318,Brawley,US,32.9787,-115.5303,71.85,30,0,5.75,clear sky
319,Margate,GB,51.3813,1.3862,48.69,89,48,1.99,scattered clouds
320,Salalah,OM,17.0151,54.0924,73.49,73,0,4.61,clear sky
