City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Biltine,TD,73.36,clear sky,14.5333,20.9167,فندق ثلاث نجوم بلتن
524,Florianopolis,BR,73.13,overcast clouds,-27.6146,-48.5012,Pousada Caminho da Lagoa
539,Namatanai,PG,85.8,broken clouds,-3.6667,152.4333,Namatanai Hotel
547,Sampit,ID,76.98,overcast clouds,-2.5333,112.95,Hotel Sultan
549,Yenagoa,NG,76.98,overcast clouds,4.9247,6.2642,Peretimi Hotels Ltd.
553,Todos Santos,MX,75.43,clear sky,23.45,-110.2167,Hotel Casa Tota
573,Piacabucu,BR,75.38,overcast clouds,-10.4056,-36.4344,O Leão
574,Sahuaripa,MX,70.2,scattered clouds,29.05,-109.2333,Hotel El Molino
577,Mazatlan,MX,80.56,clear sky,23.2167,-106.4167,Mona Inn
583,Mareeba,AU,76.44,overcast clouds,-17.0,145.4333,The Gateway Hotel
586,Caravelas,BR,75.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
592,Satipo,PE,75.87,overcast clouds,-11.2522,-74.6386,Hospedaje Henrys
597,Gombong,ID,77.85,overcast clouds,-7.6072,109.5142,Permata Hotel
608,Sur,OM,72.82,broken clouds,22.5667,59.5289,Sur Hotel
621,Beira,MZ,72.28,clear sky,-19.8436,34.8389,Hotel Savoy
636,Conakry,GN,81.57,few clouds,9.538,-13.6773,Hotel del Fanta (sleazy but rooms for 100k or even less)
638,Moerai,PF,75.29,overcast clouds,-22.4333,-151.3333,Manotel Rurutu
641,Bolgatanga,GH,77.04,broken clouds,10.7856,-0.8514,Black Star Hotel
653,Mongu,ZM,71.53,scattered clouds,-15.2484,23.1274,Country Lodge
657,Puerto Berrio,CO,73.49,overcast clouds,6.4916,-74.4033,Rio Palma
661,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
668,Alta Gracia,AR,70.38,broken clouds,-31.6529,-64.4283,The Ritz-Carlton
670,Presidencia Roque Saenz Pena,AR,83.12,scattered clouds,-26.7852,-60.4388,Hotel Presidente
677,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Hotel Hero
684,Lubao,PH,80.31,overcast clouds,14.9167,120.55,Hacienda de Gracia Resort
