City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Pedernales,DO,2022-11-23 19:45:33,18.0384,-71.744,84.83,58,1,3.89
194,Hilo,US,2022-11-23 19:36:21,19.7297,-155.09,78.12,75,20,5.99
195,Nizhniy Kuranakh,RU,2022-11-23 19:45:34,58.8353,125.4869,-3.23,99,100,1.95
196,Lompoc,US,2022-11-23 19:45:01,34.6391,-120.4579,76.84,38,75,9.22
197,Quatre Cocos,MU,2022-11-23 19:45:35,-20.2078,57.7625,76.08,77,16,9.93
198,Tambura,SS,2022-11-23 19:45:35,5.6,27.4667,74.75,69,57,3.62
199,San Antonio,US,2022-11-23 19:43:40,29.4241,-98.4936,62.87,87,100,5.75
200,Kaitangata,NZ,2022-11-23 19:39:38,-46.2817,169.8464,49.77,73,90,12.53
201,Sarakhs,IR,2022-11-23 19:45:36,36.5449,61.1577,59.18,24,1,6.29
202,Pendleton,US,2022-11-23 19:43:15,45.6721,-118.7886,52.61,61,0,5.99
203,Tambopata,PE,2022-11-23 19:45:36,-12.7333,-69.1833,85.89,74,40,4.61
204,Lodwar,KE,2022-11-23 19:45:37,3.1191,35.5973,83.7,43,12,12.41
205,Dembi Dolo,ET,2022-11-23 19:45:37,8.5333,34.8,59.49,75,33,3.53
206,Namibe,AO,2022-11-23 19:44:44,-15.1961,12.1522,74.17,73,49,9.69
207,Itaqui,BR,2022-11-23 19:45:38,-29.1253,-56.5531,80.87,30,5,5.55
208,Cayenne,GF,2022-11-23 19:41:20,4.9333,-52.3333,80.64,83,75,1.14
209,Taltal,CL,2022-11-23 19:45:38,-25.4,-70.4833,67.48,71,23,4.43
210,Hofn,IS,2022-11-23 19:45:38,64.2539,-15.2082,40.3,80,100,20.4
211,Kirakira,SB,2022-11-23 19:45:39,-10.4544,161.9205,80.91,82,87,6.42
212,Klaksvik,FO,2022-11-23 19:45:39,62.2266,-6.589,47.32,87,100,37.33
213,Caravelas,BR,2022-11-23 19:45:39,-17.7125,-39.2481,76.86,78,100,7.05
214,Solnechnyy,RU,2022-11-23 19:45:40,50.7214,136.6319,9.45,89,10,0.87
215,George,ZA,2022-11-23 19:45:40,-33.963,22.4617,61.84,79,11,3.8
216,Kankan,GN,2022-11-23 19:45:41,10.3854,-9.3057,77.41,26,34,2.44
217,Sola,VU,2022-11-23 19:45:41,-13.8833,167.55,82.35,71,27,10.74
218,Ibra,OM,2022-11-23 19:45:41,22.6906,58.5334,70.54,60,49,3.76
219,Egvekinot,RU,2022-11-23 19:45:42,66.3167,-179.1667,1.47,86,100,9.93
220,Usinsk,RU,2022-11-23 19:45:42,65.9939,57.5281,2.08,97,98,7.74
221,Gornopravdinsk,RU,2022-11-23 19:45:42,60.05,69.9,-8.28,94,66,6.24
222,Ulety,RU,2022-11-23 19:45:43,51.3572,112.4849,6.8,96,100,1.63
223,Hasaki,JP,2022-11-23 19:37:04,35.7333,140.8333,52.21,71,52,22.26
224,Rosetown,CA,2022-11-23 19:45:43,51.5501,-108.0014,35.65,69,100,11.5
225,Manicore,BR,2022-11-23 19:45:43,-5.8092,-61.3003,84.15,74,20,6.91
226,Ilebo,CD,2022-11-23 19:45:44,-4.3167,20.5833,72.43,83,9,0.96
227,Huarmey,PE,2022-11-23 19:45:44,-10.0681,-78.1522,71.04,75,18,9.4
228,Porto Velho,BR,2022-11-23 19:45:27,-8.7619,-63.9039,84.25,70,75,2.3
229,Chagoda,RU,2022-11-23 19:46:45,59.164,35.3285,18.75,94,95,6.2
230,Porto Novo,BJ,2022-11-23 19:46:45,6.4965,2.6036,82.22,78,4,6.15
231,Mahibadhoo,MV,2022-11-23 19:46:46,3.7833,72.9667,81.7,76,100,17.16
232,Medicine Hat,CA,2022-11-23 19:46:46,50.0501,-110.6683,38.21,83,40,9.22
233,Martil,MA,2022-11-23 19:46:00,35.6166,-5.2752,66.16,72,40,10.36
234,Hambantota,LK,2022-11-23 19:36:45,6.1241,81.1185,76.39,80,100,6.89
235,Mildura,AU,2022-11-23 19:46:47,-34.2,142.15,50.07,85,0,6.93
236,Tres Arroyos,AR,2022-11-23 19:45:57,-38.3739,-60.2798,79.23,31,0,17.25
237,Dingle,PH,2022-11-23 19:46:47,10.9995,122.6711,75.85,94,100,6.69
238,Brae,GB,2022-11-23 19:46:48,60.3964,-1.353,48.34,85,100,30.62
239,Ostrovnoy,RU,2022-11-23 19:46:48,68.0531,39.5131,30.47,86,100,4.81
240,Constitucion,CL,2022-11-23 19:46:48,-35.3333,-72.4167,68.86,64,27,20.49
241,Verkhnevilyuysk,RU,2022-11-23 19:46:49,63.4453,120.3167,-32.37,100,100,2.15
242,Palmer,US,2022-11-23 19:38:21,42.1584,-72.3287,50.41,40,40,5.01
243,Baruun-Urt,MN,2022-11-23 19:46:49,46.6806,113.2792,21.61,72,100,3.69
244,Truth Or Consequences,US,2022-11-23 19:46:50,33.1284,-107.2528,59.92,35,0,6.91
245,Udalguri,IN,2022-11-23 19:46:50,26.7667,92.1333,61.3,67,0,4.0
246,Ribeira Grande,PT,2022-11-23 19:46:50,38.5167,-28.7,63.77,72,20,19.57
247,Severnyy,RU,2022-11-23 19:46:51,50.677,36.5532,28.44,93,100,8.95
248,Dakar,SN,2022-11-23 19:42:39,14.6937,-17.4441,81.48,57,0,6.91
249,Huilong,CN,2022-11-23 19:46:51,31.8111,121.655,53.92,72,95,4.72
250,Chiredzi,ZW,2022-11-23 19:46:52,-21.05,31.6667,75.9,38,24,6.42
251,Yumbing,PH,2022-11-23 19:46:52,9.2393,124.6578,81.19,79,100,9.53
252,Faanui,PF,2022-11-23 19:46:52,-16.4833,-151.75,78.84,77,96,7.7
253,Rovaniemi,FI,2022-11-23 19:46:53,66.5,25.7167,26.01,93,100,10.36
254,Guerrero Negro,MX,2022-11-23 19:46:53,27.9769,-114.0611,71.94,32,3,8.16
255,Diedorf,DE,2022-11-23 19:46:54,48.35,10.7667,41.92,82,0,14.97
256,Forio,IT,2022-11-23 19:46:54,40.7342,13.8646,56.93,50,7,8.03
257,Fare,PF,2022-11-23 19:37:01,-16.7,-151.0167,78.55,77,72,7.45
258,Merauke,ID,2022-11-23 19:46:54,-8.4667,140.3333,76.89,91,100,11.56
259,Leningradskiy,RU,2022-11-23 19:34:43,69.3833,178.4167,-18.92,97,100,3.33
260,Whitianga,NZ,2022-11-23 19:46:55,-36.8333,175.7,60.21,84,76,17.65
261,Aksu,CN,2022-11-23 19:46:55,41.1231,80.2644,36.52,32,1,0.72
262,Khorinsk,RU,2022-11-23 19:46:56,52.1657,109.7726,10.6,93,100,1.77
263,Saint-Augustin,CA,2022-11-23 19:46:56,51.226,-58.6502,8.74,85,100,7.16
264,Xifeng,CN,2022-11-23 19:46:56,42.7372,124.7222,32.18,84,100,1.74
265,Leh,IN,2022-11-23 19:46:57,34.1667,77.5833,11.08,46,0,3.69
266,Cockburn Town,TC,2022-11-23 19:42:25,21.4612,-71.1419,81.27,77,10,17.31
